pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
common	chrI	1	50000	0.0180571884913152	567	7326	405711	36549
white	chrI	1	50000	0.0265175293423881	567	11152	420552	21708
common	chrI	50001	100000	0.0214127742208538	667	10321	482002	38258
white	chrI	50001	100000	0.0228569926095521	667	11301	494422	25838
common	chrI	100001	150000	0.0290296689525043	488	10308	355085	25555
white	chrI	100001	150000	0.0293417634634218	488	10516	358397	22243
common	chrI	150001	200000	0.0447599931933319	671	21832	487757	35623
white	chrI	150001	200000	0.0283065313452109	671	14029	495610	27770
common	chrI	200001	250000	0.0611831617045111	197	8520	139254	14406
white	chrI	200001	250000	0.0473640457222029	197	6837	144350	9310
common	chrI	250001	300000	0.0352413004662873	642	16461	467094	33666
white	chrI	250001	300000	0.0343761291352609	642	16364	476028	24732
common	chrI	300001	350000	0.0477878415553066	644	21975	459845	42475
white	chrI	300001	350000	0.0429861486773572	644	20740	482481	19839
common	chrI	350001	400000	0.0294803692886684	567	12032	408136	34124
white	chrI	350001	400000	0.0341573470408262	567	14413	421959	20301
white	chrI	400001	450000	0.0339719406231786	1094	27861	820118	33202
common	chrI	400001	450000	0.0324211665371191	1094	25527	787356	65964
common	chrI	450001	500000	0.0553931634255344	634	25223	455345	39175
white	chrI	450001	500000	0.0574158418360856	634	27078	471612	22908
common	chrI	500001	550000	0.0621962934982325	297	13337	214434	17226
white	chrI	500001	550000	0.0577865326269075	297	12761	220830	10830
common	chrI	550001	600000	0.0317507496219108	162	3632	114391	11969
white	chrI	550001	600000	0.0314920368818105	162	3757	119300	7060
white	chrI	600001	650000	0.0203766324626865	735	11184	548864	24436
common	chrI	600001	650000	0.0161170457188565	735	8523	528819	44481
white	chrI	650001	700000	0.0343206053615765	814	20859	607769	27151
common	chrI	650001	700000	0.0276840088693011	814	16156	583586	51334
common	chrI	700001	750000	0.0631572284702382	481	21952	347577	27603
white	chrI	700001	750000	0.0632927693001094	481	22609	357213	17967
common	chrI	750001	800000	0.0538733800217975	255	9985	185342	13558
white	chrI	750001	800000	0.0470247440227934	255	8896	189177	9723
common	chrI	800001	850000	0.0633007408638909	404	18276	288717	26403
white	chrI	800001	850000	0.0662894607745647	404	19999	301692	13428
common	chrI	850001	900000	0.0668281653032851	623	30235	452429	33511
white	chrI	850001	900000	0.0548445317774969	623	25343	462088	23852
white	chrI	900001	950000	0.0504416886607132	664	25113	497862	20058
common	chrI	900001	950000	0.0491182539069915	664	23544	479333	38587
common	chrI	950001	1000000	0.0295190297857516	514	10846	367424	33496
white	chrI	950001	1000000	0.028053476693853	514	10687	380951	19969
common	chrI	1000001	1050000	0.047007092895178	800	26801	570148	53852
white	chrI	1000001	1050000	0.0437228550980388	800	25842	591041	32959
common	chrI	1050001	1100000	0.0655061054615414	581	26694	407504	45676
white	chrI	1050001	1100000	0.0717786329753401	581	31372	437066	16114
white	chrI	1100001	1150000	0.0537767153876834	492	19820	368561	15199
common	chrI	1100001	1150000	0.0549850671835064	492	19405	352914	30846
common	chrI	1150001	1200000	0.057622625700377	570	23520	408173	36427
white	chrI	1150001	1200000	0.0448094141244672	570	19123	426763	17837
common	chrI	1200001	1250000	0.0412481525891637	514	14792	358610	42310
white	chrI	1200001	1250000	0.0431550149156838	514	16752	388182	12738
common	chrI	1250001	1300000	0.0514584838994619	273	10253	199248	13692
white	chrI	1250001	1300000	0.0539177561019107	273	10884	201863	11077
white	chrI	1300001	1350000	0.065048421636712	626	30011	461364	26916
common	chrI	1300001	1350000	0.0658981505502229	626	29720	450999	37281
white	chrI	1350001	1400000	0.0680421224342547	686	34704	510037	25043
common	chrI	1350001	1400000	0.0679862463671277	686	33475	492379	42701
common	chrI	1400001	1450000	0.0829998148788275	849	50664	610411	51809
white	chrI	1400001	1450000	0.0835219302199427	849	52811	632301	29919
common	chrI	1450001	1500000	0.0696355556365027	613	30587	439244	38896
white	chrI	1450001	1500000	0.0681734393365689	613	31436	461118	17022
common	chrI	1500001	1550000	0.0724992964808935	733	38387	529481	42259
white	chrI	1500001	1550000	0.0709484648820011	733	38538	543183	28557
common	chrI	1550001	1600000	0.0761090308415411	340	18476	242757	22443
white	chrI	1550001	1600000	0.0782112093649659	340	19803	253199	12001
common	chrI	1600001	1650000	0.0804392259313578	485	27588	342967	35333
white	chrI	1600001	1650000	0.0819068004656115	485	29694	362534	15766
common	chrI	1650001	1700000	0.0981431072483342	602	42436	432389	37171
white	chrI	1650001	1700000	0.0928268815232028	602	41499	447058	22502
common	chrI	1700001	1750000	0.0852184014622267	520	31984	375318	30282
white	chrI	1700001	1750000	0.0863794848723428	520	33792	391204	14396
common	chrI	1750001	1800000	0.0449756576416433	1049	33904	753830	64390
white	chrI	1750001	1800000	0.0462096773168098	1049	36341	786437	31783
white	chrI	1800001	1850000	0.0360189014456214	907	24430	678255	29205
