pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
common	white	chrI	1	50000	0.0227748505540722	567	19278	846460	60740
common	white	chrI	50001	100000	0.0224289649492449	667	22440	1000492	66708
common	white	chrI	100001	150000	0.029835886214442	488	21816	731200	49600
common	white	chrI	150001	200000	0.0413488781835064	671	41680	1008008	65592
common	white	chrI	200001	250000	0.0631086013359961	197	18328	290420	24780
common	white	chrI	250001	300000	0.0408436946408172	642	39472	966416	60784
common	white	chrI	300001	350000	0.0466275842068194	644	45018	965480	64920
common	white	chrI	350001	400000	0.0318545163868904	567	27098	850680	56520
common	white	chrI	400001	450000	0.0329447480267152	1094	54260	1647000	103400
common	white	chrI	450001	500000	0.0562607926546771	634	53432	949720	64680
common	white	chrI	500001	550000	0.0616160076055858	297	27480	445988	29212
common	white	chrI	550001	600000	0.0318338927014977	162	7626	239556	19644
common	white	chrI	600001	650000	0.0186245172696117	735	20564	1104136	71864
common	white	chrI	650001	700000	0.0322641948368113	814	39388	1220796	81604
common	white	chrI	700001	750000	0.0649814995347188	481	46926	722144	47456
common	white	chrI	750001	800000	0.0547890244792046	255	21030	383836	24164
common	white	chrI	800001	850000	0.0648095490014548	404	39202	604880	41520
common	white	chrI	850001	900000	0.0635797937721933	623	59588	937216	59584
common	white	chrI	900001	950000	0.0498152549481715	664	49884	1001380	61020
common	white	chrI	950001	1000000	0.029307134175921	514	22474	766844	55556
common	white	chrI	1000001	1050000	0.0458025405321802	800	54490	1189672	90328
common	white	chrI	1050001	1100000	0.0697542734055043	581	60362	865352	64248
common	white	chrI	1100001	1150000	0.0547302855163755	492	40454	739152	48048
common	white	chrI	1150001	1200000	0.0519136541302762	570	44414	855536	56464
common	white	chrI	1200001	1250000	0.0419427376127598	514	32082	764900	57500
common	white	chrI	1250001	1300000	0.0550840859545313	273	22640	411008	25792
common	white	chrI	1300001	1350000	0.0650432067077344	626	60818	935040	66560
common	white	chrI	1350001	1400000	0.0694567757009345	686	71346	1027200	70400
common	white	chrI	1400001	1450000	0.0828257858217558	849	105474	1273444	84956
common	white	chrI	1450001	1500000	0.0695218812593755	613	64142	922616	58184
common	white	chrI	1500001	1550000	0.0717391778987511	733	78858	1099232	73568
common	white	chrI	1550001	1600000	0.0778346255263882	340	39554	508180	35820
common	white	chrI	1600001	1650000	0.0817629902652565	485	59096	722772	53228
common	white	chrI	1650001	1700000	0.0949645427838574	602	85598	901368	61832
common	white	chrI	1700001	1750000	0.0852087248356326	520	66926	785436	46564
common	white	chrI	1750001	1800000	0.0454485551652651	1049	71732	1578312	100088
common	white	chrI	1800001	1850000	0.0381845487979376	907	51664	1353008	98192
common	white	chrI	1850001	1900000	0.0833882399920135	533	66824	801360	51440
common	white	chrI	1900001	1950000	0.0465752471112348	384	26764	574640	39760
