pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Common	chrY	1	50000	NA	0	NA	NA	NA
White	chrY	1	50000	NA	0	NA	NA	NA
Common	chrY	50001	100000	NA	0	NA	NA	NA
White	chrY	50001	100000	NA	0	NA	NA	NA
Common	chrY	100001	150000	NA	0	NA	NA	NA
White	chrY	100001	150000	NA	0	NA	NA	NA
Common	chrY	150001	200000	NA	0	NA	NA	NA
White	chrY	150001	200000	NA	0	NA	NA	NA
Common	chrY	200001	250000	NA	0	NA	NA	NA
White	chrY	200001	250000	NA	0	NA	NA	NA
Common	chrY	250001	300000	NA	0	NA	NA	NA
White	chrY	250001	300000	NA	0	NA	NA	NA
Common	chrY	300001	350000	NA	0	NA	NA	NA
White	chrY	300001	350000	NA	0	NA	NA	NA
White	chrY	350001	400000	0.0	293	0	43748	11922
Common	chrY	350001	400000	0.0	293	0	51614	4056
Common	chrY	400001	450000	0.0	10341	0	1818938	145852
White	chrY	400001	450000	3.927185615155445e-05	10341	72	1833374	131416
Common	chrY	450001	500000	0.0001484798584702	41230	1128	7596990	236710
White	chrY	450001	500000	0.000190237994787	41230	1456	7653571	180129
White	chrY	500001	550000	0.000103352840738	40324	776	7508260	153300
Common	chrY	500001	550000	0.0001222086509935	40324	904	7397185	264375
White	chrY	550001	600000	0.0001814901981233	42039	1420	7824114	163296
Common	chrY	550001	600000	0.0001103020710249	42039	852	7724243	263167
Common	chrY	600001	650000	0.0001010992588611	36064	672	6646933	205227
White	chrY	600001	650000	0.0001505788996835	36064	1008	6694165	157995
Common	chrY	650001	700000	0.0001427295178619	33400	868	6081433	264567
White	chrY	650001	700000	0.0002499608421732	33400	1540	6160965	185035
Common	chrY	700001	750000	7.418049700664225e-05	40446	552	7441309	243431
White	chrY	700001	750000	0.0002161335705465	40446	1620	7495365	189375
White	chrY	750001	800000	0.00013729456764	45045	1152	8390718	167832
Common	chrY	750001	800000	7.081793134274314e-05	45045	584	8246499	312051
White	chrY	800001	850000	0.0001747776684507	42508	1388	7941518	135002
Common	chrY	800001	850000	0.0001453880796823	42508	1140	7841083	235437
Common	chrY	850001	900000	8.802863615236197e-05	35215	564	6407006	283844
White	chrY	850001	900000	0.0002068317646526	35215	1336	6459356	231494
White	chrY	900001	950000	0.0001292750737288	39610	952	7364142	161758
Common	chrY	900001	950000	6.023206231485326e-05	39610	428	7105850	420050
Common	chrY	950001	1000000	7.403184114456208e-05	43934	596	8050590	296870
White	chrY	950001	1000000	0.0001050127083693	43934	860	8189485	157975
