pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
common	chrXIX	1	50000	0.0940885438880832	512	7721	82061	15219
white	chrXIX	1	50000	0.0884828445055181	512	8242	93148	4132
common	chrXIX	50001	100000	0.1185706741770815	863	16840	142025	21945
white	chrXIX	50001	100000	0.1228225408811828	863	18184	148051	15919
common	chrXIX	100001	150000	0.1193997308880693	957	19167	160528	21302
white	chrXIX	100001	150000	0.1164168553730395	957	19433	166926	14904
common	chrXIX	150001	200000	0.1053729380827157	1006	17631	167320	23820
white	chrXIX	150001	200000	0.1177884197786798	1006	20341	172691	18449
common	chrXIX	200001	250000	0.0709469095605844	1131	13183	185815	29075
white	chrXIX	200001	250000	0.0664602047105659	1131	13155	197938	16952
common	chrXIX	250001	300000	0.1480902428509843	1058	25764	173975	27045
white	chrXIX	250001	300000	0.1460262574963531	1058	27028	185090	15930
white	chrXIX	300001	350000	0.1275707290533188	859	18758	147040	16170
common	chrXIX	300001	350000	0.1242296534703479	859	17215	138574	24636
common	chrXIX	350001	400000	0.111897096612222	821	15154	135428	20562
white	chrXIX	350001	400000	0.1098817543560444	821	15463	140724	15266
common	chrXIX	400001	450000	0.1179733727810651	78	1595	13520	1300
white	chrXIX	400001	450000	0.1205328433624253	78	1312	10885	3935
common	chrXIX	450001	500000	0.0802094045059362	343	4290	53485	11685
white	chrXIX	450001	500000	0.0716127422440322	343	4305	60115	5055
common	chrXIX	500001	550000	0.0666837309810832	1214	13547	203153	27507
white	chrXIX	500001	550000	0.0698265449098903	1214	14452	206970	23690
common	chrXIX	550001	600000	0.0572270777203045	1247	12192	213046	23884
white	chrXIX	550001	600000	0.0579901940511802	1247	12620	217623	19307
white	chrXIX	600001	650000	0.0493959238366941	1043	9142	185076	13094
common	chrXIX	600001	650000	0.0503677263952315	1043	8636	171459	26711
common	chrXIX	650001	700000	0.1076989328345153	446	8003	74309	10431
white	chrXIX	650001	700000	0.1011976836009476	446	7689	75980	8760
common	chrXIX	700001	750000	0.0688167730923075	1158	13385	194502	25518
white	chrXIX	700001	750000	0.0669573594280788	1158	13206	197230	22790
common	chrXIX	750001	800000	0.063787258056873	1428	14807	232131	39189
white	chrXIX	750001	800000	0.0653447844441395	1428	16191	247778	23542
common	chrXIX	800001	850000	0.0662861762844209	1101	12462	188003	21187
white	chrXIX	800001	850000	0.0629211256440745	1101	12065	191748	17442
common	chrXIX	850001	900000	0.0691341738123981	1434	16665	241053	31407
white	chrXIX	850001	900000	0.0744882615930551	1434	18577	249395	23065
white	chrXIX	900001	950000	0.0757849316316473	1406	18301	241486	25654
common	chrXIX	900001	950000	0.0767291688248903	1406	17776	231672	35468
common	chrXIX	950001	1000000	0.1020965096373546	850	14254	139613	21887
white	chrXIX	950001	1000000	0.0987036109720135	850	14192	143784	17716
common	chrXIX	1000001	1050000	0.0840761779393037	1276	17628	209667	32773
white	chrXIX	1000001	1050000	0.0918320486961532	1276	20397	222112	20328
common	chrXIX	1050001	1100000	0.0758956644967007	1374	17138	225810	35250
white	chrXIX	1050001	1100000	0.0716463225470203	1374	17321	241757	19303
common	chrXIX	1100001	1150000	0.0521895733882908	1616	13852	265417	41623
white	chrXIX	1100001	1150000	0.0565534666824137	1616	15802	279417	27623
common	chrXIX	1150001	1200000	0.0492208811752014	1102	8715	177059	32321
white	chrXIX	1150001	1200000	0.0459369603876188	1102	8912	194005	15375
common	chrXIX	1200001	1250000	0.066242930675243	1679	18249	275486	43524
white	chrXIX	1200001	1250000	0.0625574819146453	1679	18229	291396	27614
white	chrXIX	1250001	1300000	0.0650748498061483	1568	17775	273147	24773
common	chrXIX	1250001	1300000	0.0654635734445082	1568	16770	256173	41747
common	chrXIX	1300001	1350000	0.0626435915784716	1305	13306	212408	35542
white	chrXIX	1300001	1350000	0.0667744734558649	1305	15237	228186	19764
common	chrXIX	1350001	1400000	0.0784928767137977	1134	14639	186501	28959
white	chrXIX	1350001	1400000	0.0749225593369848	1134	14609	194988	20472
common	chrXIX	1400001	1450000	0.0798828867876128	1356	18062	226106	31534
white	chrXIX	1400001	1450000	0.0855906040839237	1356	20128	235166	22474
common	chrXIX	1450001	1500000	0.0702069842950804	1659	19093	271953	43257
white	chrXIX	1450001	1500000	0.0659494191817015	1659	19070	289161	26049
common	chrXIX	1500001	1550000	0.0648923951723748	654	6893	106222	18038
white	chrXIX	1500001	1550000	0.0674631557568854	654	7640	113247	11013
white	chrXIX	1550001	1600000	0.0686747893396962	1233	14621	212902	21368
common	chrXIX	1550001	1600000	0.070610576365534	1233	14613	206952	27318
common	chrXIX	1600001	1650000	0.0611882590511919	1260	12787	208978	30422
white	chrXIX	1600001	1650000	0.057312523374716	1260	12566	219254	20146
common	chrXIX	1650001	1700000	0.0762195292603061	1089	13617	178655	28255
white	chrXIX	1650001	1700000	0.0762469141080035	1089	14269	187142	19768
common	chrXIX	1700001	1750000	0.0595942874779046	1310	12744	213846	35054
white	chrXIX	1700001	1750000	0.0499564968367297	1310	11426	228719	20181
common	chrXIX	1750001	1800000	0.0665278483529593	1119	12045	181052	31558
white	chrXIX	1750001	1800000	0.0660888850279266	1119	12933	195691	16919
common	chrXIX	1800001	1850000	0.0510640835669163	1327	11131	217981	34149
white	chrXIX	1800001	1850000	0.0499746648459708	1327	11638	232878	19252
common	chrXIX	1850001	1900000	0.0953654671777022	918	14083	147674	26746
white	chrXIX	1850001	1900000	0.1029607774628932	918	15913	154554	19866
white	chrXIX	1900001	1950000	0.0528002907504997	1592	14528	275150	27330
common	chrXIX	1900001	1950000	0.0538820453247146	1592	14054	260829	41651
common	chrXIX	1950001	2000000	0.0631725585996648	611	6258	99062	17028
white	chrXIX	1950001	2000000	0.0625414731254147	611	6786	108504	7586
common	chrXIX	2000001	2050000	0.0502616052543693	669	5418	107796	19314
white	chrXIX	2000001	2050000	0.0482170188656908	669	5702	118257	8853
common	chrXIX	2050001	2100000	0.0734456954351274	1247	15095	205526	31404
white	chrXIX	2050001	2100000	0.0648850795639525	1247	13672	210711	26219
common	chrXIX	2100001	2150000	0.0506764266886849	1526	12766	251912	38028
white	chrXIX	2100001	2150000	0.0530353213488963	1526	13931	262674	27266
common	chrXIX	2150001	2200000	0.0545769563961882	1730	15687	287429	41271
white	chrXIX	2150001	2200000	0.0587909760463495	1730	17210	292732	35968
white	chrXIX	2200001	2250000	0.0619948088082801	1756	19251	310526	23114
common	chrXIX	2200001	2250000	0.0650505682410593	1756	18717	287730	45910
common	chrXIX	2250001	2300000	0.0503609632713284	1160	9557	189770	30630
white	chrXIX	2250001	2300000	0.0484727820608147	1160	9909	204424	15976
common	chrXIX	2300001	2350000	0.0520579679623023	1376	11865	227919	33521
white	chrXIX	2300001	2350000	0.0521451486171464	1376	12012	230357	31083
common	chrXIX	2350001	2400000	0.0428339693908736	759	5466	127609	16601
white	chrXIX	2350001	2400000	0.0435863225708077	759	5717	131165	13045
common	chrXIX	2400001	2450000	0.063027744270205	22	209	3316	864
white	chrXIX	2400001	2450000	0.0641996075133165	22	229	3567	613
common	chrXIX	2450001	2500000	0.0498875485585769	226	1708	34237	8703
white	chrXIX	2450001	2500000	0.0501009496747177	226	2010	40119	2821
white	chrXIX	2500001	2550000	0.029099560761347	101	477	16392	2798
common	chrXIX	2500001	2550000	0.0311859090360719	101	517	16578	2612
white	chrXIX	2550001	2600000	0.1092367911518477	419	7842	71789	7821
common	chrXIX	2550001	2600000	0.1120648407255433	419	7729	68969	10641
common	chrXIX	2600001	2650000	0.0138587047377043	1106	2487	179454	30686
white	chrXIX	2600001	2650000	0.0148279675404576	1106	2856	192609	17531
common	chrXIX	2650001	2700000	0.034010372254917	430	2433	71537	10163
white	chrXIX	2650001	2700000	0.0341663987999571	430	2551	74664	7036
common	chrXIX	2700001	2750000	0.0203455406577279	897	3050	149910	20520
