pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
common	white	chrXIX	1	50000	-0.0009105272260312	195
common	white	chrXIX	50001	100000	0.0110301791235233	362
common	white	chrXIX	100001	150000	0.0044772350157895	391
common	white	chrXIX	150001	200000	0.0101745208902624	409
common	white	chrXIX	200001	250000	-0.0067989625108225	357
common	white	chrXIX	250001	300000	0.0142472265719703	525
common	white	chrXIX	300001	350000	0.000113399441237	387
common	white	chrXIX	350001	400000	0.0080399023193155	334
common	white	chrXIX	400001	450000	0.0141679107894886	34
common	white	chrXIX	450001	500000	-0.0151981837669459	99
common	white	chrXIX	500001	550000	-0.0009217156624691	290
common	white	chrXIX	550001	600000	0.0039066172893791	315
common	white	chrXIX	600001	650000	-0.0042848022161238	219
common	white	chrXIX	650001	700000	0.0223071863377098	159
common	white	chrXIX	700001	750000	0.0066525845153216	335
common	white	chrXIX	750001	800000	0.006170920942535	378
common	white	chrXIX	800001	850000	-0.0081481218323225	316
common	white	chrXIX	850001	900000	0.0045078352304935	386
common	white	chrXIX	900001	950000	-0.0041621475893322	401
common	white	chrXIX	950001	1000000	0.0016102912035292	290
common	white	chrXIX	1000001	1050000	0.0196139089339406	373
common	white	chrXIX	1050001	1100000	0.0178739693601938	374
common	white	chrXIX	1100001	1150000	0.0256128891398702	424
common	white	chrXIX	1150001	1200000	-0.0039200074952041	298
common	white	chrXIX	1200001	1250000	0.0023395756171808	418
common	white	chrXIX	1250001	1300000	6.098278860149373e-05	378
common	white	chrXIX	1300001	1350000	0.0024657788420903	385
common	white	chrXIX	1350001	1400000	-0.0011922099641757	338
common	white	chrXIX	1400001	1450000	-0.0029443648546532	399
common	white	chrXIX	1450001	1500000	-0.0092751555027821	411
common	white	chrXIX	1500001	1550000	0.0001189647333275	206
common	white	chrXIX	1550001	1600000	0.0071934617504814	354
common	white	chrXIX	1600001	1650000	0.0035901978658991	340
common	white	chrXIX	1650001	1700000	-0.0096595310823996	343
common	white	chrXIX	1700001	1750000	0.0110361983778151	348
common	white	chrXIX	1750001	1800000	0.0081300096117345	311
common	white	chrXIX	1800001	1850000	0.0080403466569242	258
common	white	chrXIX	1850001	1900000	-0.0028550641358052	281
common	white	chrXIX	1900001	1950000	-0.0106224947249901	343
common	white	chrXIX	1950001	2000000	0.009916043184915	162
