pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
Common	White	chrY	1	50000	NA	0	NA	NA	NA
Common	White	chrY	50001	100000	NA	0	NA	NA	NA
Common	White	chrY	100001	150000	NA	0	NA	NA	NA
Common	White	chrY	150001	200000	NA	0	NA	NA	NA
Common	White	chrY	200001	250000	NA	0	NA	NA	NA
Common	White	chrY	250001	300000	NA	0	NA	NA	NA
Common	White	chrY	300001	350000	NA	0	NA	NA	NA
Common	White	chrY	350001	400000	NA	0	NA	NA	NA
Common	White	chrY	400001	450000	0.002641392169049	71	17	6436	21964
Common	White	chrY	450001	500000	0.0167118200359197	681	1098	65702	206698
Common	White	chrY	500001	550000	0.0159993480741022	376	589	36814	113586
Common	White	chrY	550001	600000	0.0093184993749146	981	887	95187	297213
Common	White	chrY	600001	650000	0.0116861744420406	563	632	54081	171119
Common	White	chrY	650001	700000	0.0099876009255372	1063	1023	102427	322773
Common	White	chrY	700001	750000	0.0080448649036049	1142	898	111624	345176
Common	White	chrY	750001	800000	0.0080615541094148	1089	856	106183	329417
Common	White	chrY	800001	850000	0.0108893856820546	991	1057	97067	299333
Common	White	chrY	850001	900000	0.0064398517843343	1037	650	100934	313866
Common	White	chrY	900001	950000	0.0117621047977006	468	532	45230	141970
Common	White	chrY	950001	1000000	0.0070728607158965	1007	690	97556	305244
Common	White	chrY	1000001	1050000	0.0146072465772368	609	845	57848	185752
Common	White	chrY	1050001	1100000	0.0277436347673397	412	1106	39865	124935
Common	White	chrY	1100001	1150000	0.0153471200019304	427	636	41441	129359
Common	White	chrY	1150001	1200000	0.0063357608938932	607	368	58083	184717
Common	White	chrY	1200001	1250000	0.0050451658372654	1207	587	116349	366451
Common	White	chrY	1250001	1300000	0.0139319742964768	743	1006	72208	224992
Common	White	chrY	1300001	1350000	0.0155040589012648	440	657	42376	133624
Common	White	chrY	1350001	1400000	0.0158201796771538	577	884	55878	174922
Common	White	chrY	1400001	1450000	0.0109038418831889	926	982	90060	280340
Common	White	chrY	1450001	1500000	0.0177593900742534	568	983	55351	171849
Common	White	chrY	1500001	1550000	0.015735008497208	685	1037	65904	208096
Common	White	chrY	1550001	1600000	0.0101697309258692	454	432	42479	139121
Common	White	chrY	1600001	1650000	0.0123012024078949	670	799	64953	203047
Common	White	chrY	1650001	1700000	0.0029223160833865	871	247	84522	263878
Common	White	chrY	1700001	1750000	0.0113679987121221	826	918	80753	249647
Common	White	chrY	1750001	1800000	0.0053566513518663	973	506	94462	294738
Common	White	chrY	1800001	1850000	0.0208012615927608	549	1108	53266	166334
Common	White	chrY	1850001	1900000	0.0115036695681856	610	674	58590	185410
Common	White	chrY	1900001	1950000	0.0136211588615489	737	961	70552	224248
Common	White	chrY	1950001	2000000	0.014581256231306	333	468	32096	101104
Common	White	chrY	2000001	2050000	0.0096167751265365	715	665	69150	216850
Common	White	chrY	2050001	2100000	0.0116269648355209	506	574	49368	153032
Common	White	chrY	2100001	2150000	0.0045440922750431	1276	561	123457	386943
Common	White	chrY	2150001	2200000	0.0051500319216854	1441	726	140970	435430
Common	White	chrY	2200001	2250000	0.013685179502915	510	669	48885	155115
Common	White	chrY	2250001	2300000	0.0075801207617278	1101	816	107650	332750
Common	White	chrY	2300001	2350000	0.0081043767850179	979	769	94887	296713
Common	White	chrY	2350001	2400000	0.0117724071669147	972	1115	94713	294087
Common	White	chrY	2400001	2450000	0.0030531738597881	1164	339	111032	354568
Common	White	chrY	2450001	2500000	0.0037283885442787	1565	565	151540	474460
Common	White	chrY	2500001	2550000	0.0081357774028425	721	569	69938	218462
Common	White	chrY	2550001	2600000	0.0083152514234953	709	571	68669	214931
Common	White	chrY	2600001	2650000	0.0071317900109369	913	626	87776	277424
Common	White	chrY	2650001	2700000	0.0103847518302318	641	644	62014	194386
Common	White	chrY	2700001	2750000	0.0095761713439869	682	634	66206	206594
Common	White	chrY	2750001	2800000	0.0196211885500933	529	1009	51424	160176
Common	White	chrY	2800001	2850000	0.0121923032474286	705	844	69224	212776
Common	White	chrY	2850001	2900000	0.0133658912736152	486	624	46686	147714
Common	White	chrY	2900001	2950000	0.0182269349330399	803	1425	78181	243019
Common	White	chrY	2950001	3000000	0.0135445571578037	897	1191	87932	270868
Common	White	chrY	3000001	3050000	0.0115380715806549	1017	1138	98630	308170
Common	White	chrY	3050001	3100000	0.0123710073710073	837	1007	81400	253400
Common	White	chrY	3100001	3150000	0.0142767388078655	774	1068	74807	234793
Common	White	chrY	3150001	3200000	0.0077474438705597	798	588	75896	243304
Common	White	chrY	3200001	3250000	0.0134948464562745	684	889	65877	207723
Common	White	chrY	3250001	3300000	0.0113963708236085	491	542	47559	148841
Common	White	chrY	3300001	3350000	0.0128126351243713	950	1126	87882	292118
Common	White	chrY	3350001	3400000	0.0086821994905376	771	651	74981	233419
Common	White	chrY	3400001	3450000	0.0054823972050524	199	102	18605	60995
Common	White	chrY	3450001	3500000	0.0188701755781352	524	949	50291	159309
Common	White	chrY	3500001	3550000	0.0154368330015338	636	946	61282	193118
Common	White	chrY	3550001	3600000	0.0094605006181577	581	528	55811	176589
Common	White	chrY	3600001	3650000	0.0118455595159328	488	555	46853	148347
Common	White	chrY	3650001	3700000	0.0120845226038118	449	525	43444	136156
Common	White	chrY	3700001	3750000	0.0096409109962274	443	414	42942	134258
Common	White	chrY	3750001	3800000	0.0107289984759087	680	711	66269	205731
