chromosome	pos	avg_wc_fst	avg_dxy	white_pi	common_pi	dataset
I	25000.5	0.0205542845514959	NA	NA	NA	Fst
I	75000.5	0.0133465184404336	NA	NA	NA	Fst
I	125000.5	0.0221699398874478	NA	NA	NA	Fst
I	175000.5	0.116977125127012	NA	NA	NA	Fst
I	225000.5	0.147925881885635	NA	NA	NA	Fst
I	275000.5	0.152294730321589	NA	NA	NA	Fst
I	325000.5	0.0257889472458089	NA	NA	NA	Fst
I	375000.5	0.0019574954302638	NA	NA	NA	Fst
I	525000.5	0.0267244282563207	NA	NA	NA	Fst
I	575000.5	0.0079103638147804	NA	NA	NA	Fst
I	625000.5	0.0199401595217301	NA	NA	NA	Fst
I	675000.5	0.0381863543376949	NA	NA	NA	Fst
I	725000.5	0.0257468143400288	NA	NA	NA	Fst
I	775000.5	0.0758800171381168	NA	NA	NA	Fst
I	825000.5	0.00071335544942	NA	NA	NA	Fst
I	875000.5	0.0430044519629221	NA	NA	NA	Fst
I	925000.5	0.0008352290878785	NA	NA	NA	Fst
I	975000.5	0.0172015796317979	NA	NA	NA	Fst
I	1025000.5	0.0085245130729305	NA	NA	NA	Fst
I	1075000.5	0.014889633914063	NA	NA	NA	Fst
I	1125000.5	0.0050072771888308	NA	NA	NA	Fst
I	1175000.5	0.017177904073259	NA	NA	NA	Fst
I	1275000.5	0.0431740996991206	NA	NA	NA	Fst
I	1375000.5	0.0214422732003494	NA	NA	NA	Fst
I	1475000.5	0.0088364333992444	NA	NA	NA	Fst
I	1525000.5	0.0020514768282774	NA	NA	NA	Fst
I	1575000.5	0.0059687536610854	NA	NA	NA	Fst
I	1625000.5	0.0077649264034702	NA	NA	NA	Fst
I	1675000.5	0.0025571124169433	NA	NA	NA	Fst
I	1825000.5	0.009786589343842	NA	NA	NA	Fst
I	1925000.5	0.0049860494884959	NA	NA	NA	Fst
I	1975000.5	0.0179273618830037	NA	NA	NA	Fst
I	2025000.5	0.0055937879748851	NA	NA	NA	Fst
I	2075000.5	0.0013944361955997	NA	NA	NA	Fst
I	2125000.5	0.0049259153285515	NA	NA	NA	Fst
I	2175000.5	0.0062879090803508	NA	NA	NA	Fst
I	2225000.5	0.0177025139125061	NA	NA	NA	Fst
I	2275000.5	0.0140812897306763	NA	NA	NA	Fst
I	2325000.5	0.0072094772209644	NA	NA	NA	Fst
I	2475000.5	0.0028110418063653	NA	NA	NA	Fst
I	2525000.5	0.0011622147048807	NA	NA	NA	Fst
I	2625000.5	0.0273916107059393	NA	NA	NA	Fst
I	2675000.5	0.0072705495999821	NA	NA	NA	Fst
I	2725000.5	0.0047524413397901	NA	NA	NA	Fst
I	2775000.5	0.0097396389798328	NA	NA	NA	Fst
I	2825000.5	0.0153907190486972	NA	NA	NA	Fst
I	2875000.5	0.0115923057621169	NA	NA	NA	Fst
I	2925000.5	0.0113314240264676	NA	NA	NA	Fst
I	2975000.5	0.0164303580476401	NA	NA	NA	Fst
I	3025000.5	0.0214801222700754	NA	NA	NA	Fst
I	3175000.5	0.0012738130708488	NA	NA	NA	Fst
I	3275000.5	0.0011557228374716	NA	NA	NA	Fst
I	3325000.5	0.0259557987885778	NA	NA	NA	Fst
I	3475000.5	0.0916783924830973	NA	NA	NA	Fst
I	3525000.5	0.0681528338223373	NA	NA	NA	Fst
I	3575000.5	0.0112904350376445	NA	NA	NA	Fst
I	3675000.5	0.0226040262155863	NA	NA	NA	Fst
I	3725000.5	0.0065163836370072	NA	NA	NA	Fst
I	3775000.5	0.0040023327029365	NA	NA	NA	Fst
I	3825000.5	0.0251622035916321	NA	NA	NA	Fst
I	3875000.5	0.0394064711884413	NA	NA	NA	Fst
I	3925000.5	0.0177227451898351	NA	NA	NA	Fst
I	3975000.5	0.0054609028545377	NA	NA	NA	Fst
I	4025000.5	0.0231187588953068	NA	NA	NA	Fst
I	4075000.5	0.0768072720021204	NA	NA	NA	Fst
I	4125000.5	0.0427599641025887	NA	NA	NA	Fst
I	4175000.5	0.027775877241641	NA	NA	NA	Fst
I	4225000.5	0.0118135001353896	NA	NA	NA	Fst
I	4275000.5	0.0424988958246767	NA	NA	NA	Fst
I	4325000.5	0.0075202287516487	NA	NA	NA	Fst
I	4375000.5	0.0119561876290054	NA	NA	NA	Fst
I	4475000.5	0.0034511077050948	NA	NA	NA	Fst
I	4525000.5	0.0225902097357898	NA	NA	NA	Fst
I	4625000.5	0.0289839181145517	NA	NA	NA	Fst
I	4675000.5	0.024165729818632	NA	NA	NA	Fst
I	4725000.5	0.0833354365425814	NA	NA	NA	Fst
I	4775000.5	0.0034486838501034	NA	NA	NA	Fst
I	4825000.5	0.007646944579817	NA	NA	NA	Fst
I	4875000.5	0.0105096771315565	NA	NA	NA	Fst
I	4925000.5	0.0087275516258771	NA	NA	NA	Fst
I	4975000.5	0.0005255163616368	NA	NA	NA	Fst
I	5075000.5	0.0019953892362462	NA	NA	NA	Fst
I	5175000.5	0.0070714557018242	NA	NA	NA	Fst
I	5225000.5	0.0281116171443505	NA	NA	NA	Fst
I	5275000.5	0.0053575095387357	NA	NA	NA	Fst
I	5325000.5	0.0191255421162992	NA	NA	NA	Fst
I	5375000.5	0.0191680452394003	NA	NA	NA	Fst
I	5425000.5	0.0474118161814395	NA	NA	NA	Fst
I	5475000.5	0.0957789269787995	NA	NA	NA	Fst
I	5525000.5	0.118777767998847	NA	NA	NA	Fst
I	5575000.5	0.0291274317693358	NA	NA	NA	Fst
I	5625000.5	0.18507807660129	NA	NA	NA	Fst
I	5675000.5	0.0785508905880084	NA	NA	NA	Fst
I	5725000.5	0.0657248577277047	NA	NA	NA	Fst
I	5775000.5	0.061204136692676	NA	NA	NA	Fst
I	5825000.5	0.0150134214605435	NA	NA	NA	Fst
I	5875000.5	0.0019603975041719	NA	NA	NA	Fst
I	5975000.5	0.0017049109804571	NA	NA	NA	Fst
I	6025000.5	0.0035924905539211	NA	NA	NA	Fst
I	6075000.5	0.0113990684828292	NA	NA	NA	Fst
I	6125000.5	0.0146593556970224	NA	NA	NA	Fst
I	6175000.5	0.0118463105678372	NA	NA	NA	Fst
I	6225000.5	0.0097178937018902	NA	NA	NA	Fst
I	6325000.5	0.0085824885159649	NA	NA	NA	Fst
I	6375000.5	0.0408559256632999	NA	NA	NA	Fst
I	6425000.5	0.0113271576425307	NA	NA	NA	Fst
I	6525000.5	0.0102638909249581	NA	NA	NA	Fst
I	6575000.5	0.021383914891129	NA	NA	NA	Fst
I	6625000.5	0.0315971807293165	NA	NA	NA	Fst
I	6675000.5	0.0222032342448244	NA	NA	NA	Fst
I	6775000.5	0.0089455590862708	NA	NA	NA	Fst
I	6825000.5	0.0004532191679434	NA	NA	NA	Fst
I	6875000.5	0.0023159017744891	NA	NA	NA	Fst
I	6925000.5	0.0042012626415427	NA	NA	NA	Fst
I	6975000.5	0.0598210869830961	NA	NA	NA	Fst
I	7025000.5	0.0196736568330241	NA	NA	NA	Fst
I	7075000.5	0.037296248049222	NA	NA	NA	Fst
I	7125000.5	0.0546934981805899	NA	NA	NA	Fst
I	7175000.5	0.0233411895071237	NA	NA	NA	Fst
I	7225000.5	0.103720951537665	NA	NA	NA	Fst
I	7275000.5	0.130314197769328	NA	NA	NA	Fst
I	7325000.5	0.0050813569049301	NA	NA	NA	Fst
I	7375000.5	0.0254243444915806	NA	NA	NA	Fst
I	7425000.5	0.0120998414693309	NA	NA	NA	Fst
I	7475000.5	0.0240506477715734	NA	NA	NA	Fst
I	7525000.5	0.0038230247289055	NA	NA	NA	Fst
I	7575000.5	0.0048802110629088	NA	NA	NA	Fst
I	7625000.5	0.0120395711062907	NA	NA	NA	Fst
I	7675000.5	0.119373688887577	NA	NA	NA	Fst
I	7725000.5	0.255863919554512	NA	NA	NA	Fst
I	7775000.5	0.0012707773247529	NA	NA	NA	Fst
I	7825000.5	0.0673351922188243	NA	NA	NA	Fst
I	7875000.5	0.0170208915232755	NA	NA	NA	Fst
I	7925000.5	0.0142235557599596	NA	NA	NA	Fst
I	8025000.5	0.0162330624438855	NA	NA	NA	Fst
I	8075000.5	0.0133158097214675	NA	NA	NA	Fst
I	8175000.5	0.0248915361054426	NA	NA	NA	Fst
I	8225000.5	0.0197051385261892	NA	NA	NA	Fst
I	8275000.5	0.0058458173933583	NA	NA	NA	Fst
I	8325000.5	0.0096368428338644	NA	NA	NA	Fst
I	8375000.5	0.0096774233788586	NA	NA	NA	Fst
I	8425000.5	0.0236116878750988	NA	NA	NA	Fst
I	8475000.5	0.0038689592910056	NA	NA	NA	Fst
I	8525000.5	0.0264273779050591	NA	NA	NA	Fst
I	8575000.5	0.0155416892024803	NA	NA	NA	Fst
I	8625000.5	0.06809778843343	NA	NA	NA	Fst
I	8675000.5	0.078242660163464	NA	NA	NA	Fst
I	8725000.5	0.0715797263409119	NA	NA	NA	Fst
I	8775000.5	0.0019837954763955	NA	NA	NA	Fst
I	8825000.5	0.0066009490337021	NA	NA	NA	Fst
I	8875000.5	0.0087985371066313	NA	NA	NA	Fst
I	8925000.5	0.0748885242227709	NA	NA	NA	Fst
I	8975000.5	0.0445597165135426	NA	NA	NA	Fst
I	9025000.5	0.179006991466783	NA	NA	NA	Fst
I	9075000.5	0.0292261648057214	NA	NA	NA	Fst
I	9125000.5	0.0438113965090686	NA	NA	NA	Fst
I	9175000.5	0.0109962572405372	NA	NA	NA	Fst
I	9225000.5	0.0314544880414209	NA	NA	NA	Fst
I	9275000.5	0.0356603850991161	NA	NA	NA	Fst
