pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
Common	White	chrY	400001	450000	-0.017864027759928	6
Common	White	chrY	450001	500000	0.3427739450074604	91
Common	White	chrY	500001	550000	0.199165866014499	58
Common	White	chrY	550001	600000	0.2944750917084371	86
Common	White	chrY	600001	650000	0.2683201758126708	69
Common	White	chrY	650001	700000	0.3437068089136615	69
Common	White	chrY	700001	750000	0.3282013340261431	76
Common	White	chrY	750001	800000	0.4374049670552458	72
Common	White	chrY	800001	850000	0.3324494955614213	88
Common	White	chrY	850001	900000	0.1877166786860545	73
Common	White	chrY	900001	950000	0.2966961648756765	60
Common	White	chrY	950001	1000000	0.4221167123122588	77
Common	White	chrY	1000001	1050000	0.503113065095122	51
Common	White	chrY	1050001	1100000	0.573189102749806	73
Common	White	chrY	1100001	1150000	0.3661245570156554	55
Common	White	chrY	1150001	1200000	0.3941188767333286	48
Common	White	chrY	1200001	1250000	0.3323015967083763	64
Common	White	chrY	1250001	1300000	0.4075933731603709	93
Common	White	chrY	1300001	1350000	0.3963028808472404	56
Common	White	chrY	1350001	1400000	0.3351797821615578	75
Common	White	chrY	1400001	1450000	0.429719747990441	75
Common	White	chrY	1450001	1500000	0.3958966565349543	66
Common	White	chrY	1500001	1550000	0.3444363092985915	88
Common	White	chrY	1550001	1600000	0.4306071606199658	30
Common	White	chrY	1600001	1650000	0.308886888303003	82
Common	White	chrY	1650001	1700000	0.0951578302175911	45
Common	White	chrY	1700001	1750000	0.4137773406657338	69
Common	White	chrY	1750001	1800000	0.3177813714368467	64
Common	White	chrY	1800001	1850000	0.3485162220181781	88
Common	White	chrY	1850001	1900000	0.2605851979345954	68
Common	White	chrY	1900001	1950000	0.3882628284618571	76
Common	White	chrY	1950001	2000000	0.2191663169916303	48
Common	White	chrY	2000001	2050000	0.3450488412181573	64
Common	White	chrY	2050001	2100000	0.2629277651363048	78
Common	White	chrY	2100001	2150000	0.3093840615741586	58
Common	White	chrY	2150001	2200000	0.3058502576538344	84
Common	White	chrY	2200001	2250000	0.3853204921606915	56
Common	White	chrY	2250001	2300000	0.2543175138995133	97
Common	White	chrY	2300001	2350000	0.400168966488313	72
Common	White	chrY	2350001	2400000	0.3668697795426536	84
Common	White	chrY	2400001	2450000	0.0208118468565466	56
Common	White	chrY	2450001	2500000	0.3433326592338434	66
Common	White	chrY	2500001	2550000	0.2147192716236722	63
Common	White	chrY	2550001	2600000	0.511400651465798	41
Common	White	chrY	2600001	2650000	0.4487033598850092	64
Common	White	chrY	2650001	2700000	0.427432617282559	47
Common	White	chrY	2700001	2750000	0.4350572435442765	53
Common	White	chrY	2750001	2800000	0.3954229543447375	79
Common	White	chrY	2800001	2850000	0.3243425327738422	79
Common	White	chrY	2850001	2900000	0.3798256537982564	68
Common	White	chrY	2900001	2950000	0.4960209654778319	87
Common	White	chrY	2950001	3000000	0.3785651543533246	103
Common	White	chrY	3000001	3050000	0.3990095001684769	97
Common	White	chrY	3050001	3100000	0.3280622362332841	84
Common	White	chrY	3100001	3150000	0.2727702248871882	110
Common	White	chrY	3150001	3200000	0.1855060215508134	81
Common	White	chrY	3200001	3250000	0.3816139478401665	80
Common	White	chrY	3250001	3300000	0.2596372408034512	71
Common	White	chrY	3300001	3350000	0.5251950190905472	85
Common	White	chrY	3350001	3400000	0.1898098383723883	68
Common	White	chrY	3400001	3450000	0.6542056074766355	12
Common	White	chrY	3450001	3500000	0.3826531287645118	69
Common	White	chrY	3500001	3550000	0.3915017350395698	71
Common	White	chrY	3550001	3600000	0.2533135556725201	65
Common	White	chrY	3600001	3650000	0.3623592244281899	50
Common	White	chrY	3650001	3700000	0.2996085588722653	55
Common	White	chrY	3700001	3750000	0.2164248511904762	57
Common	White	chrY	3750001	3800000	0.4950154389060432	60
Common	White	chrY	3800001	3850000	0.475558583000627	58
Common	White	chrY	3850001	3900000	0.3376611542413155	57
Common	White	chrY	3900001	3950000	0.1672684712503423	77
Common	White	chrY	3950001	4000000	0.1864373542668222	68
Common	White	chrY	4000001	4050000	0.4459209624907351	50
Common	White	chrY	4050001	4100000	0.2594688434379288	57
Common	White	chrY	4100001	4150000	0.363647157981329	54
Common	White	chrY	4150001	4200000	0.3377610703433698	74
Common	White	chrY	4200001	4250000	0.4212091029216701	72
Common	White	chrY	4250001	4300000	0.576894433066468	18
Common	White	chrY	4300001	4350000	0.1320657094813089	21
Common	White	chrY	4350001	4400000	0.3068748156212672	80
Common	White	chrY	4400001	4450000	0.2413501311859871	79
Common	White	chrY	4450001	4500000	0.2538209607997537	90
Common	White	chrY	4500001	4550000	0.368403235361681	91
Common	White	chrY	4550001	4600000	0.1754355604017474	76
Common	White	chrY	4600001	4650000	0.4488285687966346	76
Common	White	chrY	4650001	4700000	0.4412140505890505	81
Common	White	chrY	4700001	4750000	0.3922148210926273	93
Common	White	chrY	4750001	4800000	0.2988054165087848	62
Common	White	chrY	4800001	4850000	0.2867819615546384	77
Common	White	chrY	4850001	4900000	0.3856612882150608	83
Common	White	chrY	4900001	4950000	0.435791739937065	99
