pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
common	white	chrXIX	1	50000	0.0909803750735118	512	16708	183644	21156
common	white	chrXIX	50001	100000	0.1217656412210731	863	37064	304388	40812
common	white	chrXIX	100001	150000	0.1181505056029416	957	40614	343748	39052
common	white	chrXIX	150001	200000	0.1128129800522521	1006	40244	356732	45668
common	white	chrXIX	200001	250000	0.0679778575048946	1131	27360	402484	49916
common	white	chrXIX	250001	300000	0.1488527339106809	1058	56102	376896	46304
common	white	chrXIX	300001	350000	0.125939523396302	859	37734	299620	43980
common	white	chrXIX	350001	400000	0.1118923096029917	821	32434	289868	38532
common	white	chrXIX	400001	450000	0.1201165721487082	78	3050	25392	5808
common	white	chrXIX	450001	500000	0.0743893412287194	343	8844	118888	18312
common	white	chrXIX	500001	550000	0.0680846118084611	1214	29290	430200	55400
common	white	chrXIX	550001	600000	0.0577310835190491	1247	26112	452304	46496
common	white	chrXIX	600001	650000	0.0495063801568031	1043	18514	373972	43228
common	white	chrXIX	650001	700000	0.1062577683078406	446	16756	157692	20708
common	white	chrXIX	700001	750000	0.0681815970025789	1158	28024	411020	52180
common	white	chrXIX	750001	800000	0.065478838332486	1428	32972	503552	67648
common	white	chrXIX	800001	850000	0.0642913753147603	1101	25634	398716	41684
common	white	chrXIX	850001	900000	0.0722881731464421	1434	37194	514524	59076
common	white	chrXIX	900001	950000	0.0759577278731836	1406	37720	496592	65808
common	white	chrXIX	950001	1000000	0.1003920564776891	850	29806	296896	43104
common	white	chrXIX	1000001	1050000	0.0898142505100824	1276	40674	452868	57532
common	white	chrXIX	1050001	1100000	0.0750108049482585	1374	36794	490516	59084
common	white	chrXIX	1100001	1150000	0.0557621338487286	1616	31852	571212	75188
common	white	chrXIX	1150001	1200000	0.0473709093899029	1102	18436	389184	51616
common	white	chrXIX	1200001	1250000	0.0645292535305985	1679	38382	594800	76800
common	white	chrXIX	1250001	1300000	0.065253724461862	1568	36232	555248	71952
common	white	chrXIX	1300001	1350000	0.0648063949007075	1305	29932	461868	60132
common	white	chrXIX	1350001	1400000	0.0768073643914482	1134	30738	400196	53404
common	white	chrXIX	1400001	1450000	0.0822984060880989	1356	39840	484092	58308
common	white	chrXIX	1450001	1500000	0.067269315238011	1659	39574	588292	75308
common	white	chrXIX	1500001	1550000	0.0663748328035159	654	15284	230268	31332
common	white	chrXIX	1550001	1600000	0.0702723791895766	1233	30980	440856	52344
common	white	chrXIX	1600001	1650000	0.0589939648573107	1260	26510	449368	54632
common	white	chrXIX	1650001	1700000	0.0756275387980418	1089	29044	384040	51560
common	white	chrXIX	1700001	1750000	0.055019696068544	1310	25532	464052	59948
common	white	chrXIX	1750001	1800000	0.0665454508620165	1119	26278	394888	52712
common	white	chrXIX	1800001	1850000	0.0508067719823177	1327	24044	473244	57556
common	white	chrXIX	1850001	1900000	0.0989342626966689	918	31340	316776	50424
common	white	chrXIX	1900001	1950000	0.0527423460318814	1592	29672	562584	74216
common	white	chrXIX	1950001	2000000	0.0635460106920434	611	13836	217732	26668
common	white	chrXIX	2000001	2050000	0.0500354203211442	669	11866	237152	30448
common	white	chrXIX	2050001	2100000	0.0710459078546113	1247	31032	436788	62012
common	white	chrXIX	2100001	2150000	0.0520808614143331	1526	28092	539392	71008
common	white	chrXIX	2150001	2200000	0.0566066885366607	1730	34442	608444	83556
common	white	chrXIX	2200001	2250000	0.0650275662066987	1756	40810	627580	74820
common	white	chrXIX	2250001	2300000	0.049940023603614	1160	20650	413496	50504
common	white	chrXIX	2300001	2350000	0.0552802531856417	1376	26550	480280	70120
common	white	chrXIX	2350001	2400000	0.043015978204845	759	11684	271620	31980
common	white	chrXIX	2400001	2450000	0.0617009449694274	22	444	7196	1604
common	white	chrXIX	2450001	2500000	0.0491592533552733	226	3824	77788	12612
common	white	chrXIX	2500001	2550000	0.0317791695662259	101	1096	34488	5912
common	white	chrXIX	2550001	2600000	0.1114103223361931	419	16466	147796	19804
common	white	chrXIX	2600001	2650000	0.0141296774457969	1106	5516	390384	52016
common	white	chrXIX	2650001	2700000	0.0325934031577301	430	5004	153528	18472
common	white	chrXIX	2700001	2750000	0.0225120109814687	897	7216	320540	38260
common	white	chrXIX	2750001	2800000	0.0415239144543218	1489	22010	530056	65544
common	white	chrXIX	2800001	2850000	0.0470164190649346	1427	23584	501612	69188
common	white	chrXIX	2850001	2900000	0.0388497007995321	1579	21788	560828	70772
common	white	chrXIX	2900001	2950000	0.0292029260720949	1372	14148	484472	64328
common	white	chrXIX	2950001	3000000	0.0318992258765268	1238	13862	434556	60644
common	white	chrXIX	3000001	3050000	0.0240263481200241	1626	13846	576284	74116
common	white	chrXIX	3050001	3100000	0.0178984761782292	1420	8908	497696	70304
common	white	chrXIX	3100001	3150000	0.0154862899560672	1496	8178	528080	70320
common	white	chrXIX	3150001	3200000	0.0185093158204573	1493	9684	523196	74004
common	white	chrXIX	3200001	3250000	0.0317122279872996	1454	16380	516520	65080
common	white	chrXIX	3250001	3300000	0.0175436288407522	1690	10668	608084	67916
common	white	chrXIX	3300001	3350000	0.0224225202024686	1388	11110	495484	59716
common	white	chrXIX	3350001	3400000	0.0235486296994153	1405	11648	494636	67364
common	white	chrXIX	3400001	3450000	0.0190462724397243	2142	14548	763824	92976
common	white	chrXIX	3450001	3500000	0.0142205127510597	1665	8400	590696	75304
common	white	chrXIX	3500001	3550000	0.0160480786490479	1634	9298	579384	74216
common	white	chrXIX	3550001	3600000	0.013670309269651	1330	6480	474020	57980
common	white	chrXIX	3600001	3650000	0.007908429518664	1478	4122	521216	69984
common	white	chrXIX	3650001	3700000	0.0129822708215149	1724	7964	613452	76148
common	white	chrXIX	3700001	3750000	0.0135851702528594	1536	7440	547656	66744
common	white	chrXIX	3750001	3800000	0.013346421436936	1309	6200	464544	59056
common	white	chrXIX	3800001	3850000	0.0226609317171202	1245	9968	439876	58124
common	white	chrXIX	3850001	3900000	0.0107804147958092	1328	5042	467700	63500
common	white	chrXIX	3900001	3950000	0.0312011085780698	1257	13960	447420	55380
common	white	chrXIX	3950001	4000000	0.0443968213090026	606	9654	217448	24952
common	white	chrXIX	4000001	4050000	NA	0	NA	NA	NA
common	white	chrXIX	4050001	4100000	NA	0	NA	NA	NA
common	white	chrXIX	4100001	4150000	0.0514861995753715	23	388	7536	1664
common	white	chrXIX	4150001	4200000	0.0370822151744327	184	2432	65584	8016
common	white	chrXIX	4200001	4250000	0.0181803995006242	1510	9786	538272	65728
common	white	chrXIX	4250001	4300000	0.0091668306948232	1209	3912	426756	56844
common	white	chrXIX	4300001	4350000	0.0132662135811433	1365	6504	490268	55732
common	white	chrXIX	4350001	4400000	0.0107037610956351	1264	4780	446572	59028
common	white	chrXIX	4400001	4450000	0.0048971006897723	1581	2766	564824	67576
common	white	chrXIX	4450001	4500000	0.0304556378343525	1150	12470	409448	50552
common	white	chrXIX	4500001	4550000	0.0062442725315943	1598	3516	563076	76124
common	white	chrXIX	4550001	4600000	0.0061336033842551	1578	3416	556932	74268
common	white	chrXIX	4600001	4650000	0.0075074481788511	1447	3800	506164	72636
common	white	chrXIX	4650001	4700000	0.0190915748420389	1320	8968	469736	58264
common	white	chrXIX	4700001	4750000	0.0495543434880936	681	11920	240544	31856
common	white	chrXIX	4750001	4800000	0.0102082512983201	1517	5496	538388	68412
common	white	chrXIX	4800001	4850000	0.0109764182989416	1371	5364	488684	59716
common	white	chrXIX	4850001	4900000	0.014512395060101	1364	7046	485516	60084
common	white	chrXIX	4900001	4950000	0.013574694948545	1475	7160	527452	62548
common	white	chrXIX	4950001	5000000	0.0139266388024404	1368	6784	487124	60076
common	white	chrXIX	5000001	5050000	0.0113657603772771	1565	6324	556408	69592
common	white	chrXIX	5050001	5100000	0.0089804658480094	1816	5754	640724	85676
common	white	chrXIX	5100001	5150000	0.009976174118954	1551	5460	547304	73096
common	white	chrXIX	5150001	5200000	0.0103588922560847	1787	6522	629604	85196
common	white	chrXIX	5200001	5250000	0.0117769396171877	1612	6682	567380	77420
common	white	chrXIX	5250001	5300000	0.0119924912533562	1931	8254	688264	84136
common	white	chrXIX	5300001	5350000	0.0216843688965264	1637	12568	579588	75212
common	white	chrXIX	5350001	5400000	0.0144876852977326	1669	8534	589052	78548
common	white	chrXIX	5400001	5450000	0.0200592396507302	1746	12488	622556	75844
common	white	chrXIX	5450001	5500000	0.0160938739447565	1749	9982	620236	79364
common	white	chrXIX	5500001	5550000	0.0187495523884552	1584	10472	558520	75080
common	white	chrXIX	5550001	5600000	0.0164912069471513	1498	8766	531556	67644
common	white	chrXIX	5600001	5650000	0.0165687116987712	1788	10566	637708	77492
common	white	chrXIX	5650001	5700000	0.0126730572014585	1588	7118	561664	73536
common	white	chrXIX	5700001	5750000	0.0191556490384615	1280	8670	452608	59392
common	white	chrXIX	5750001	5800000	0.0084819502907884	1510	4562	537848	66152
common	white	chrXIX	5800001	5850000	0.0052885327740861	1973	3712	701896	87304
common	white	chrXIX	5850001	5900000	0.0141547178090677	1738	8774	619864	75336
common	white	chrXIX	5900001	5950000	0.0141278743690409	2007	10076	713200	89600
common	white	chrXIX	5950001	6000000	0.0455654922001075	1667	27106	594880	71920
common	white	chrXIX	6000001	6050000	0.0278977599951501	1500	14726	527856	72144
common	white	chrXIX	6050001	6100000	0.0237766504971061	1825	15430	648956	81044
common	white	chrXIX	6100001	6150000	0.0346571590479788	1186	14678	423520	50880
common	white	chrXIX	6150001	6200000	0.0544919491029478	674	13036	239228	30372
common	white	chrXIX	6200001	6250000	0.0319748060647418	1442	16306	509964	66836
common	white	chrXIX	6250001	6300000	0.0426350189198486	821	12394	290700	37700
common	white	chrXIX	6300001	6350000	0.0311312564128584	1020	11044	354756	53244
common	white	chrXIX	6350001	6400000	0.0305318124509833	1139	12302	402924	52676
common	white	chrXIX	6400001	6450000	0.042898223272055	1106	16708	389480	52920
common	white	chrXIX	6450001	6500000	0.028664310224722	1732	17776	620144	72656
common	white	chrXIX	6500001	6550000	0.0219221349322126	1683	13104	597752	75448
common	white	chrXIX	6550001	6600000	0.0234272927419063	1550	12982	554140	65860
