CHROM	POS	WEIR_AND_COCKERHAM_FST	outliers
chrY	454507	0	FALSE
chrY	559432	-0.00241546	FALSE
chrY	572057	-0.0429061	FALSE
chrY	622116	-6.93889e-17	FALSE
chrY	694539	0	FALSE
chrY	697495	-0.0144928	FALSE
chrY	734158	-6.93889e-17	FALSE
chrY	777251	-6.93889e-17	FALSE
chrY	852670	0.00343643	FALSE
chrY	854977	0	FALSE
chrY	879465	0.07173	FALSE
chrY	908315	-0.0185185	FALSE
chrY	908327	-0.00907029	FALSE
chrY	1018965	0.111111	FALSE
chrY	1021743	-6.93889e-17	FALSE
chrY	1051611	-6.93889e-17	FALSE
chrY	1060006	0.301587	FALSE
chrY	1060253	0.222222	FALSE
chrY	1066450	0.0555556	FALSE
chrY	1071625	-0.0353535	FALSE
chrY	1072613	-0.031746	FALSE
chrY	1106047	4.77049e-18	FALSE
chrY	1131264	0.108187	FALSE
chrY	1151456	-6.93889e-17	FALSE
chrY	1171738	-0.031746	FALSE
chrY	1172072	-0.0526316	FALSE
chrY	1172263	-0.0526316	FALSE
chrY	1213058	0.333333	FALSE
chrY	1257551	-6.93889e-17	FALSE
chrY	1287092	-0.031746	FALSE
chrY	1336289	-0.0457516	FALSE
chrY	1336442	-0.031746	FALSE
chrY	1340604	-0.0222222	FALSE
chrY	1344261	-0.00653595	FALSE
chrY	1344373	0.0246914	FALSE
chrY	1345089	0.0246914	FALSE
chrY	1345343	0.0246914	FALSE
chrY	1379066	-6.93889e-17	FALSE
chrY	1508085	-6.93889e-17	FALSE
chrY	1509645	-6.93889e-17	FALSE
chrY	1576644	0.111111	FALSE
chrY	1584428	0	FALSE
chrY	1584431	0.4	FALSE
chrY	1800697	0.0111111	FALSE
chrY	1801261	-0.0416667	FALSE
chrY	1829459	0.419753	FALSE
chrY	1829719	0.277778	FALSE
chrY	1834590	0	FALSE
chrY	1873950	-6.93889e-17	FALSE
chrY	1945896	0.222222	FALSE
chrY	1946605	-0.0493827	FALSE
chrY	1958774	0	FALSE
chrY	1997949	0.0277778	FALSE
chrY	2005486	0.375	FALSE
chrY	2168253	0	FALSE
chrY	2209448	-0.0416667	FALSE
chrY	2209722	0.166667	FALSE
chrY	2279996	-6.93889e-17	FALSE
chrY	2309831	-0.00907029	FALSE
chrY	2345826	0.0555556	FALSE
chrY	2383740	0.0111111	FALSE
chrY	2385019	-6.93889e-17	FALSE
chrY	2385628	0	FALSE
chrY	2408184	-0.0344828	FALSE
chrY	2408226	0.00990099	FALSE
chrY	2417272	-6.93889e-17	FALSE
chrY	2423063	-0.00907029	FALSE
chrY	2425791	0.166667	FALSE
chrY	2431412	-0.0353535	FALSE
chrY	2433022	0	FALSE
chrY	2448245	0.555556	FALSE
chrY	2491106	0	FALSE
chrY	2522996	0.0656566	FALSE
chrY	2546854	0.777778	TRUE
chrY	2611489	0	FALSE
chrY	2617642	0.0555556	FALSE
chrY	2640078	0	FALSE
chrY	2665291	-0.00877193	FALSE
chrY	2665500	0.166667	FALSE
chrY	2701238	-6.93889e-17	FALSE
chrY	2770659	0.138889	FALSE
chrY	2770695	-6.93889e-17	FALSE
chrY	2862738	0	FALSE
chrY	2898909	-6.93889e-17	FALSE
chrY	3035935	-0.0526316	FALSE
chrY	3036750	0	FALSE
chrY	3054454	0.777778	TRUE
chrY	3155456	0	FALSE
chrY	3168831	0	FALSE
chrY	3238941	0	FALSE
chrY	3292794	-6.93889e-17	FALSE
chrY	3307848	-0.0121012	FALSE
chrY	3307849	0	FALSE
chrY	3323965	0	FALSE
chrY	3331284	0.121447	FALSE
chrY	3344332	0	FALSE
chrY	3344364	0.0555556	FALSE
chrY	3368836	4.77049e-18	FALSE
chrY	3392583	-6.93889e-17	FALSE
chrY	3406048	-6.93889e-17	FALSE
chrY	3407158	-6.93889e-17	FALSE
chrY	3468694	-6.93889e-17	FALSE
chrY	3529941	0.07173	FALSE
chrY	3565810	0.64751	FALSE
chrY	3599583	-6.93889e-17	FALSE
chrY	3638958	0.0555556	FALSE
chrY	3639138	0	FALSE
chrY	3639649	-0.0353535	FALSE
chrY	3814932	0	FALSE
chrY	3815684	-6.93889e-17	FALSE
chrY	3870310	-6.93889e-17	FALSE
chrY	3884083	-6.93889e-17	FALSE
chrY	3884840	-0.0165485	FALSE
chrY	3938983	-0.0283688	FALSE
chrY	3992894	-6.93889e-17	FALSE
chrY	4022233	0	FALSE
chrY	4022409	0	FALSE
chrY	4035373	-6.93889e-17	FALSE
chrY	4059335	0	FALSE
chrY	4066683	-6.93889e-17	FALSE
chrY	4144935	0.388889	FALSE
chrY	4179026	-6.93889e-17	FALSE
chrY	4179327	-6.93889e-17	FALSE
chrY	4212860	0.0108401	FALSE
chrY	4213080	-0.031746	FALSE
chrY	4257969	-0.0165485	FALSE
chrY	4333915	-6.93889e-17	FALSE
chrY	4577955	0	FALSE
chrY	4578093	0	FALSE
chrY	4644994	0	FALSE
chrY	4684338	0	FALSE
chrY	4723285	-6.93889e-17	FALSE
chrY	4741569	0.0666667	FALSE
chrY	4741603	0.121447	FALSE
chrY	4814818	0.555556	FALSE
chrY	4821187	0.477778	FALSE
chrY	4909618	-0.0493827	FALSE
chrY	4946524	-0.0111111	FALSE
chrY	4975820	0	FALSE
chrY	4977099	0	FALSE
chrY	4988897	-6.93889e-17	FALSE
chrY	5017389	0.0666667	FALSE
chrY	5069753	0.444444	FALSE
chrY	5094011	-0.0500611	FALSE
chrY	5094272	4.77049e-18	FALSE
chrY	5100798	-0.031746	FALSE
chrY	5100964	0.00900901	FALSE
chrY	5119385	0.111111	FALSE
chrY	5125916	0.888889	TRUE
chrY	5264599	-6.93889e-17	FALSE
chrY	5286836	0	FALSE
chrY	5295190	-0.0165485	FALSE
chrY	5444071	-0.11728	FALSE
chrY	5617587	0.114583	FALSE
chrY	5660580	-6.93889e-17	FALSE
chrY	5696553	0.142857	FALSE
chrY	5704097	-0.111111	FALSE
chrY	5729963	-0.0185185	FALSE
chrY	5778030	-0.00241546	FALSE
chrY	5813890	0	FALSE
chrY	5818749	-6.93889e-17	FALSE
chrY	5840076	0	FALSE
chrY	5849564	-6.93889e-17	FALSE
chrY	5892701	-6.93889e-17	FALSE
chrY	5902704	-6.93889e-17	FALSE
chrY	5940544	-6.93889e-17	FALSE
chrY	5979296	0.111111	FALSE
chrY	6089449	-6.93889e-17	FALSE
chrY	6099064	-6.93889e-17	FALSE
chrY	6193760	-0.00560307	FALSE
chrY	6217976	0.0123457	FALSE
chrY	6229970	0.0277778	FALSE
chrY	6229987	0	FALSE
chrY	6241793	0	FALSE
chrY	6242882	-0.0416667	FALSE
chrY	6252925	0	FALSE
chrY	6266047	-6.93889e-17	FALSE
chrY	6276152	-6.93889e-17	FALSE
chrY	6387404	-6.93889e-17	FALSE
chrY	6454383	-0.0353535	FALSE
chrY	6514637	-6.93889e-17	FALSE
chrY	6521222	0	FALSE
chrY	6644759	4.77049e-18	FALSE
chrY	6746351	-6.93889e-17	FALSE
chrY	6866240	0.555556	FALSE
chrY	6934582	0	FALSE
chrY	7021272	-6.93889e-17	FALSE
chrY	7024646	-6.93889e-17	FALSE
chrY	7166473	4.77049e-18	FALSE
chrY	7228898	0	FALSE
chrY	7321974	0	FALSE
chrY	7364942	0.0196078	FALSE
chrY	7365211	0	FALSE
chrY	7387220	-6.93889e-17	FALSE
chrY	7490468	-0.031746	FALSE
chrY	7652631	0.777778	TRUE
chrY	7685129	-6.93889e-17	FALSE
chrY	8153966	4.77049e-18	FALSE
chrY	8153979	-0.0277778	FALSE
chrY	8233744	-6.93889e-17	FALSE
chrY	8272788	-0.011236	FALSE
chrY	8300112	0.555556	FALSE
chrY	8300445	0.277778	FALSE
chrY	8308565	0.111111	FALSE
chrY	8312420	-6.93889e-17	FALSE
chrY	8416402	-0.0277778	FALSE
chrY	8503474	0	FALSE
chrY	8507954	-0.031746	FALSE
chrY	8566653	-6.93889e-17	FALSE
chrY	8576032	0	FALSE
chrY	8587913	-6.93889e-17	FALSE
chrY	8641855	-6.93889e-17	FALSE
chrY	8663640	-6.93889e-17	FALSE
chrY	8667978	-0.00877193	FALSE
chrY	8685908	-0.0416667	FALSE
chrY	8705504	-6.93889e-17	FALSE
chrY	8752006	0.0111111	FALSE
chrY	8759868	0.114583	FALSE
chrY	8860890	0	FALSE
chrY	8862349	0.583333	FALSE
chrY	8867270	0.00900901	FALSE
chrY	8895588	0	FALSE
chrY	8895764	-0.0204082	FALSE
chrY	8909218	0.00900901	FALSE
chrY	8930463	-0.00907029	FALSE
chrY	8930463	-0.025641	FALSE
chrY	8931549	-0.0526316	FALSE
chrY	8938124	0.277778	FALSE
chrY	8938495	0.0111111	FALSE
chrY	8972520	-6.93889e-17	FALSE
chrY	9097854	-6.93889e-17	FALSE
chrY	9099658	-6.93889e-17	FALSE
chrY	9120896	-0.0493827	FALSE
chrY	9190168	-6.93889e-17	FALSE
chrY	9192219	0	FALSE
chrY	9301662	-6.93889e-17	FALSE
